"game_date","week","home_team","away_team","winner","tie","weekday","time","pts_win","pts_loss","yds_win","turnovers_win","yds_loss","turnovers_loss","home_team_name","home_team_city","away_team_name","away_team_city","total_attendance","home_attendance","away_attendance","weekly_attendance","wins","loss","points_for","points_against","points_differential","margin_of_victory","strength_of_schedule","simple_rating","offensive_ranking","defensive_ranking","playoffs","superbowl_winner","game_year"
2000-11-26,"13","St. Louis Rams","New Orleans Saints","New Orleans Saints",NA,"Sun",13:02:00,31,24,332,2,279,4,"Rams","St. Louis","Saints","New Orleans",1081368,528402,552966,66064,10,6,540,471,69,4.3,-1.2,3.1,12.6,-9.5,1,0,2000
2000-11-26,"13","New York Jets","Chicago Bears","New York Jets",NA,"Sun",13:02:00,17,10,277,1,233,3,"Jets","New York","Bears","Chicago",1145146,623711,521435,77354,9,7,321,321,0,0,3.5,3.5,1.4,2.2,0,0,2000
2000-11-26,"13","Oakland Raiders","Atlanta Falcons","Oakland Raiders",NA,"Sun",16:05:00,41,14,492,1,181,2,"Raiders","Oakland","Falcons","Atlanta",998655,462515,536140,55175,12,4,479,299,180,11.3,-1.5,9.7,8,1.8,1,0,2000
2000-11-26,"13","Indianapolis Colts","Miami Dolphins","Miami Dolphins",NA,"Sun",16:15:00,17,14,253,0,353,1,"Colts","Indianapolis","Dolphins","Miami",1008013,454319,553694,56935,10,6,429,326,103,6.4,1.5,7.9,7.1,0.8,1,0,2000
2000-11-26,"13","San Diego Chargers","Kansas City Chiefs","San Diego Chargers",NA,"Sun",16:15:00,17,16,201,5,161,1,"Chargers","San Diego","Chiefs","Kansas City",981863,433459,548404,47228,1,15,269,440,-171,-10.7,2.6,-8.1,-3.7,-4.4,0,0,2000
2000-11-26,"13","Jacksonville Jaguars","Tennessee Titans","Jacksonville Jaguars",NA,"Sun",16:15:00,16,13,334,2,334,0,"Jaguars","Jacksonville","Titans","Tennessee",991957,482510,509447,65454,7,9,367,327,40,2.5,-1.4,1.1,3.2,-2.1,0,0,2000
2000-11-26,"13","Seattle Seahawks","Denver Broncos","Denver Broncos",NA,"Sun",16:16:00,38,31,538,5,354,3,"Seahawks","Seattle","Broncos","Denver",1029085,508367,520718,68661,6,10,320,405,-85,-5.3,1.6,-3.7,-1.4,-2.3,0,0,2000
2000-11-26,"13","Arizona Cardinals","New York Giants","New York Giants",NA,"Sun",20:35:00,31,7,371,1,267,4,"Cardinals","Arizona","Giants","New York",893926,387475,506451,42094,3,13,210,443,-233,-14.6,-0.7,-15.2,-7.2,-8.1,0,0,2000
2000-11-27,"13","Carolina Panthers","Green Bay Packers","Carolina Panthers",NA,"Mon",21:12:00,31,14,356,2,326,5,"Panthers","Carolina","Packers","Green Bay",1095192,583489,511703,73295,7,9,310,310,0,0,-1.1,-1.1,-3.6,2.5,0,0,2000
2000-11-30,"14","Minnesota Vikings","Detroit Lions","Minnesota Vikings",NA,"Thu",20:35:00,24,17,305,2,352,2,"Vikings","Minnesota","Lions","Detroit",1029262,513322,515940,64214,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,1,0,2000
2000-12-03,"14","Pittsburgh Steelers","Oakland Raiders","Pittsburgh Steelers",NA,"Sun",13:01:00,21,20,311,1,390,2,"Steelers","Pittsburgh","Raiders","Oakland",987037,440426,546611,55811,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,0,0,2000
2000-12-03,"14","Washington Redskins","New York Giants","New York Giants",NA,"Sun",13:01:00,9,7,305,3,290,2,"Redskins","Washington","Giants","New York",1174332,647424,526908,83485,8,8,281,269,12,0.8,0.2,1,-2.9,3.8,0,0,2000
2000-12-03,"14","Tampa Bay Buccaneers","Dallas Cowboys","Tampa Bay Buccaneers",NA,"Sun",13:01:00,27,7,301,1,266,4,"Buccaneers","Tampa Bay","Cowboys","Dallas",1080729,524775,555954,65621,10,6,388,269,119,7.4,-0.1,7.3,3.4,3.9,1,0,2000
2000-12-03,"14","Buffalo Bills","Miami Dolphins","Miami Dolphins",NA,"Sun",13:02:00,33,6,333,1,196,3,"Bills","Buffalo","Dolphins","Miami",1098587,560695,537892,73002,8,8,315,350,-35,-2.2,2.2,0,0.5,-0.5,0,0,2000
2000-12-03,"14","New Orleans Saints","Denver Broncos","Denver Broncos",NA,"Sun",13:02:00,38,23,483,0,446,3,"Saints","New Orleans","Broncos","Denver",980803,504315,476488,64900,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,1,0,2000
2000-12-03,"14","Cincinnati Bengals","Arizona Cardinals","Cincinnati Bengals",NA,"Sun",13:02:00,24,13,398,1,340,2,"Bengals","Cincinnati","Cardinals","Arizona",967434,469992,497442,50289,4,12,185,359,-174,-10.9,0.4,-10.5,-8.1,-2.4,0,0,2000
2000-12-03,"14","Philadelphia Eagles","Tennessee Titans","Tennessee Titans",NA,"Sun",13:03:00,15,13,331,1,262,0,"Eagles","Philadelphia","Titans","Tennessee",1039856,523531,516325,65639,11,5,351,245,106,6.6,-3.6,3.1,1,2.1,1,0,2000
2000-12-03,"14","Carolina Panthers","St. Louis Rams","Carolina Panthers",NA,"Sun",13:04:00,16,3,237,2,278,7,"Panthers","Carolina","Rams","St. Louis",1095192,583489,511703,73358,7,9,310,310,0,0,-1.1,-1.1,-3.6,2.5,0,0,2000
